x	y	codepoint
0.32941884	0.058226824	100
0.29941717	0.059635337	1000
0.074083544	-0.027451986	10000
0.12503324	-0.032750744	10001
0.11399866	-0.04236176	10002
0.1577272	-0.100786895	10003
0.12578386	-0.056154832	10004
0.08091055	-0.065333225	10005
-0.094868496	0.113595456	10006
0.031001877	-0.0057046413	10007
-0.025041347	0.040791534	10008
0.017194271	0.049862303	10009
0.27383283	-0.060750138	1001
-0.06444241	0.12719418	10010
0.041838825	0.03154166	10011
-0.06797523	0.10975919	10012
0.069260836	-0.18739039	10013
0.02535635	-0.007229613	10014
-0.012308607	0.0994752	10015
-0.098078206	0.13779221	10016
0.045946233	0.026572354	10017
-0.024442224	0.09272157	10018
-0.03278105	0.09609426	10019
0.29916775	0.025696525	1002
-0.11161824	0.15077722	10020
0.037952635	0.03569502	10021
0.049178883	-0.016315011	10022
0.085928306	0.006239947	10023
0.08700808	-0.03820334	10024
0.09739548	-0.00061523844	10025
-0.15076934	0.13159698	10026
0.06915241	-0.00725534	10027
0.07209338	-0.0141131915	10028
0.08216808	-0.010046091	10029
0.28522888	-0.070811026	1003
0.0675572	-0.0042224694	10030
0.04907138	-0.008304121	10031
0.09271994	-0.0024730118	10032
0.047900386	0.0115370955	10033
0.05079229	0.0099038035	10034
0.020453114	-0.031162554	10035
0.0026558544	-0.032681376	10036
-0.09743205	0.041278612	10037
0.082201295	-0.06541238	10038
-0.04932429	0.063639306	10039
0.33172172	0.08438339	1004
-0.0768674	0.10381371	10040
-0.07322117	0.10058991	10041
-0.048876107	0.10517613	10042
0.045452252	0.03230048	10043
-0.06220927	0.09692543	10044
-0.052526444	0.09980459	10045
-0.03846571	0.08582407	10046
-0.059112266	0.107059486	10047
-0.0006731469	0.06676948	10048
-0.04588964	0.12903781	10049
0.30446562	-0.01790668	1005
-0.1498503	0.13117622	10050
-0.054698445	0.09331505	10051
0.080306344	-0.016362803	10052
0.07961694	-0.014482243	10053
-0.043653794	0.092563376	10054
-0.0106291715	0.07527236	10055
-0.11480791	0.14735094	10056
-0.08683691	0.11735938	10057
-0.052491553	0.04657598	10058
-0.050776027	0.039157074	10059
0.24200295	0.027666848	1006
0.057765186	-0.06527845	10060
0.084323876	-0.0013857421	10061
-0.16526385	0.16591877	10062
-0.05479624	0.014582118	10063
-0.026863905	0.016773617	10064
-0.054975666	0.019188115	10065
-0.01641859	0.017832125	10066
0.022226809	-0.13699076	10067
0.050211914	0.026434897	10068
0.0512241	-0.13159616	10069
0.21657239	-0.028878784	1007
0.06658995	-0.09490417	10070
0.05040557	-0.18484831	10071
0.07353495	-0.19714846	10072
0.050669827	-0.16188003	10073
-0.06656176	0.07026013	10074
0.051007718	-0.1663899	10075
0.033978898	-0.17929421	10076
-0.11214877	0.12258301	10077
-0.10729397	0.09597473	10078
0.08314104	-0.13402168	10079
0.25484887	-0.05607036	1008
0.11843901	-0.029418906	10080
0.033111077	-0.007925918	10081
0.07931412	0.112288445	10082
0.020565392	-0.13377663	10083
-0.023197694	0.066183776	10084
-0.08494886	0.100543104	10085
-0.04169891	0.08288322	10086
-0.039271325	0.11404331	10087
0.21364391	-0.003657045	10088
0.21956748	0.025974836	10089
0.2982317	-0.07052949	1009
0.2522156	0.0035889165	10090
0.27259243	0.04240968	10091
0.22720723	0.016946206	10092
0.23914282	0.0381726	10093
0.25745896	0.024162177	10094
0.2637598	0.018201703	10095
0.3154395	0.02721957	10096
0.32078585	0.031672888	10097
0.2080289	0.007798355	10098
0.20357941	0.0017434896	10099
0.3028241	-0.05287321	101
0.25741047	-0.0025020076	1010
0.25092745	0.028700314	10100
